name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Arcbound Condor,{2}{B}{B},4.0,Artifact Creature — Bird,"Flying
Modular 3 (This creature enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)
Whenever another artifact enters the battlefield under your control, target creature an opponent controls gets -1/-1 until end of turn.",0,0,['B'],['B'],"['Flying', 'Modular']",mh3,uncommon
Archway of Innovation,,0.0,Land,"Archway of Innovation enters the battlefield tapped unless you control an Island.
{T}: Add {U}.
{U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)",n/a,n/a,[],['U'],[],mh3,rare
Arena of Glory,,0.0,Land,"Arena of Glory enters the battlefield tapped unless you control a Mountain.
{T}: Add {R}.
{R}, {T}, Exert Arena of Glory: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn. (An exerted permanent won't untap during your next untap step.)",n/a,n/a,[],['R'],['Exert'],mh3,rare
Argent Dais,{1}{W},2.0,Artifact,"Argent Dais enters the battlefield with two oil counters on it.
Whenever two or more creatures attack, put an oil counter on Argent Dais.
{2}, {T}, Remove two oil counters from Argent Dais: Exile another target nonland permanent. Its controller draws two cards.",n/a,n/a,['W'],['W'],[],mh3,rare
"Arna Kennerüd, Skycaptain",{2}{W}{U}{B},5.0,Legendary Creature — Human Knight,"Flying, lifelink
Ward—Discard a card.
Whenever a modified creature you control attacks, double the number of each kind of counter on it. Then for each nontoken permanent attached to it, create a token that's a copy of that permanent attached to that creature.",4,4,"['B', 'U', 'W']","['B', 'U', 'W']","['Flying', 'Lifelink', 'Ward']",mh3,mythic
"Ashling, Flame Dancer",{2}{R}{R},4.0,Legendary Creature — Elemental Shaman,"You don't lose unspent red mana as steps and phases end.
Magecraft — Whenever you cast or copy an instant or sorcery spell, discard a card, then draw a card. If this is the second time this ability has resolved this turn, Ashling, Flame Dancer deals 2 damage to each opponent and each creature they control. If it's the third time, add {R}{R}{R}{R}.",4,4,['R'],['R'],['Magecraft'],mh3,mythic
Barbarian Ring,,0.0,Land,"{T}: Add {R}. Barbarian Ring deals 1 damage to you.
Threshold — {R}, {T}, Sacrifice Barbarian Ring: It deals 2 damage to any target. Activate only if seven or more cards are in your graveyard.",n/a,n/a,[],['R'],['Threshold'],mh3,uncommon
Basking Broodscale,{1}{G},2.0,Creature — Eldrazi Lizard,"Devoid (This card has no color.)
{1}{G}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)
Whenever one or more +1/+1 counters are put on Basking Broodscale, you may create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",2,2,[],['G'],"['Devoid', 'Adapt']",mh3,common
Bespoke Battlewagon,{3}{U},4.0,Artifact — Vehicle,"{T}: You get {E}{E} (two energy counters).
{T}, Pay {E}{E}: Tap target creature.
{T}, Pay {E}{E}{E}: Draw a card.
Pay {E}{E}{E}{E}: Bespoke Battlewagon becomes an artifact creature until end of turn.
Crew 4",5,6,['U'],['U'],['Crew'],mh3,uncommon
Birthing Ritual,{1}{G},2.0,Enchantment,"At the beginning of your end step, if you control a creature, look at the top seven cards of your library. Then you may sacrifice a creature. If you do, you may put a creature card with mana value X or less from among those cards onto the battlefield, where X is 1 plus the sacrificed creature's mana value. Put the rest on the bottom of your library in a random order.",n/a,n/a,['G'],['G'],[],mh3,mythic
Bloodsoaked Insight // Sanguine Morass,n/a,7.0,Sorcery // Land,n/a,n/a,n/a,n/a,"['B', 'R']",[],mh3,uncommon
Bloodstained Mire,,0.0,Land,"{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.",n/a,n/a,[],[],[],mh3,rare
Boggart Trawler // Boggart Bog,n/a,3.0,Creature — Goblin // Land,n/a,n/a,n/a,n/a,['B'],[],mh3,uncommon
Bountiful Landscape,,0.0,Land,"{T}: Add {C}.
{T}, Sacrifice Bountiful Landscape: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle.
Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)",n/a,n/a,[],"['G', 'R', 'U']",['Cycling'],mh3,common
Brainsurge,{2}{U},3.0,Instant,"Draw four cards, then put two cards from your hand on top of your library in any order.",n/a,n/a,['U'],['U'],[],mh3,uncommon
Branching Evolution,{2}{G},3.0,Enchantment,"If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.",n/a,n/a,['G'],['G'],[],mh3,rare
Breaker of Creation,{6}{C}{C},8.0,Creature — Eldrazi,"When you cast this spell, you gain 1 life for each colorless permanent you control.
Hexproof from each color
Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)",8,4,[],[],"['Annihilator', 'Hexproof from', 'Hexproof']",mh3,uncommon
Breathe Your Last,{1}{B}{B},3.0,Instant,Destroy target creature or planeswalker. You gain 1 life for each of its colors.,n/a,n/a,['B'],['B'],[],mh3,common
"Breya, Etherium Shaper",{W}{U}{B}{R},4.0,Legendary Artifact Creature — Human,"When Breya, Etherium Shaper enters the battlefield, create two 1/1 blue Thopter artifact creature tokens with flying.
{2}, Sacrifice two artifacts: Choose one —
• Breya deals 3 damage to target player or planeswalker.
• Target creature gets -4/-4 until end of turn.
• You gain 5 life.",4,4,"['B', 'R', 'U', 'W']","['B', 'R', 'U', 'W']",[],mh3,mythic
Bridgeworks Battle // Tanglespan Bridgeworks,n/a,3.0,Sorcery // Land,n/a,n/a,n/a,n/a,['G'],['Fight'],mh3,uncommon
Buried Alive,{2}{B},3.0,Sorcery,"Search your library for up to three creature cards, put them into your graveyard, then shuffle.",n/a,n/a,['B'],['B'],[],mh3,uncommon
Cephalid Coliseum,,0.0,Land,"{T}: Add {U}. Cephalid Coliseum deals 1 damage to you.
Threshold — {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate only if seven or more cards are in your graveyard.",n/a,n/a,[],['U'],['Threshold'],mh3,uncommon
Charitable Levy,{1}{W},2.0,Enchantment,"Noncreature spells cost {1} more to cast.
Whenever a player casts a noncreature spell, put a collection counter on Charitable Levy. Then if there are three or more collection counters on it, sacrifice it. If you do, draw a card, then you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.",n/a,n/a,['W'],['W'],[],mh3,uncommon
Chthonian Nightmare,{1}{B},2.0,Enchantment,"When Chthonian Nightmare enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay X {E}, Sacrifice a creature, Return Chthonian Nightmare to its owner's hand: Return target creature card with mana value X from your graveyard to the battlefield. Activate only as a sorcery.",n/a,n/a,['B'],['B'],[],mh3,rare
Collective Resistance,{1}{G},2.0,Instant,"Escalate {G} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Destroy target artifact.
• Destroy target enchantment.
• Target creature gains hexproof and indestructible until end of turn.",n/a,n/a,['G'],['G'],['Escalate'],mh3,uncommon
Colossal Dreadmask,{4}{G}{G},6.0,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +6/+6 and has trample.
Equip {3}{G}{G}",n/a,n/a,['G'],['G'],"['Equip', 'Living weapon']",mh3,common
Conduit Goblin,{R}{W},2.0,Creature — Goblin Warrior,"When Conduit Goblin enters the battlefield, you get {E}{E} (two energy counters).
At the beginning of combat on your turn, you may pay {E}. If you do, another target creature you control gets +1/+0 and gains haste until end of turn.",2,2,"['R', 'W']","['R', 'W']",[],mh3,common
Consign to Memory,{U},1.0,Instant,"Replicate {1} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)
Counter target triggered ability or colorless spell.",n/a,n/a,['U'],['U'],['Replicate'],mh3,uncommon
Consuming Corruption,{B}{B},2.0,Instant,"Consuming Corruption deals X damage to target creature or planeswalker and you gain X life, where X is the number of Swamps you control.",n/a,n/a,['B'],['B'],[],mh3,uncommon
Contaminated Landscape,,0.0,Land,"{T}: Add {C}.
{T}, Sacrifice Contaminated Landscape: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.
Cycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)",n/a,n/a,[],"['B', 'U', 'W']",['Cycling'],mh3,common
Copycrook,{2}{U}{U},4.0,Creature — Shapeshifter Rogue,"You may have Copycrook enter the battlefield as a copy of any creature on the battlefield, except it has ""Whenever this creature attacks, it connives."" (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",0,0,['U'],['U'],['Connive'],mh3,uncommon
Corrupted Shapeshifter,{3}{U},4.0,Creature — Eldrazi Shapeshifter,"Devoid (This card has no color.)
As Corrupted Shapeshifter enters the battlefield, it becomes your choice of a 3/3 creature with flying, a 2/5 creature with vigilance, or a 0/12 creature with defender.",*,*,[],['U'],['Devoid'],mh3,common
Crabomination,{4}{B}{B},6.0,Creature — Crab Demon,"Emerge from artifact {5}{B}{B} (You may cast this spell by sacrificing an artifact and paying the emerge cost reduced by that artifact's mana value.)
When Crabomination enters the battlefield, target opponent exiles the top card of their library, a card at random from their graveyard, and a card at random from their hand. You may cast a spell from among cards exiled this way without paying its mana cost.",5,5,['B'],['B'],['Emerge'],mh3,rare
Cranial Ram,{B}{R},2.0,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +X/+1, where X is the number of artifacts you control.
Equip {2}",n/a,n/a,"['B', 'R']","['B', 'R']","['Equip', 'Living weapon']",mh3,common
Cursed Mirror,{2}{R},3.0,Artifact,"{T}: Add {R}.
As Cursed Mirror enters the battlefield, you may have it become a copy of any creature on the battlefield until end of turn, except it has haste.",n/a,n/a,['R'],['R'],[],mh3,rare
Cursed Wombat,{B}{G},2.0,Creature — Nightmare Wombat,"{2}{B}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Permanents you control have ""Whenever one or more +1/+1 counters are put on this permanent, put an additional +1/+1 counter on it. This ability triggers only once each turn.""",2,3,"['B', 'G']","['B', 'G']",['Adapt'],mh3,uncommon
Cyclops Superconductor,{1}{U}{R},3.0,Creature — Cyclops Wizard,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Cyclops Superconductor enters the battlefield, you get {E}{E}{E} (three energy counters).
When Cyclops Superconductor dies, you may pay {E}{E}{E}. When you do, Cyclops Superconductor deals damage equal to its power to any target.",2,2,"['R', 'U']","['R', 'U']",['Prowess'],mh3,common
Deceptive Landscape,,0.0,Land,"{T}: Add {C}.
{T}, Sacrifice Deceptive Landscape: Search your library for a basic Plains, Swamp, or Forest card, put it onto the battlefield tapped, then shuffle.
Cycling {W}{B}{G} ({W}{B}{G}, Discard this card: Draw a card.)",n/a,n/a,[],"['B', 'G', 'W']",['Cycling'],mh3,common
Decree of Justice,{X}{X}{2}{W}{W},4.0,Sorcery,"Create X 4/4 white Angel creature tokens with flying.
Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle Decree of Justice, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens.",n/a,n/a,['W'],['W'],['Cycling'],mh3,uncommon
Deem Inferior,{3}{U},4.0,Sorcery,"This spell costs {1} less to cast for each card you've drawn this turn.
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",n/a,n/a,['U'],['U'],[],mh3,common
Deep Analysis,{3}{U},4.0,Sorcery,"Target player draws two cards.
Flashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",n/a,n/a,['U'],['U'],['Flashback'],mh3,uncommon
Depth Defiler,{3}{U}{U},5.0,Creature — Eldrazi,"Devoid (This card has no color.)
Kicker {C} (You may pay an additional {C} as you cast this spell.)
When you cast this spell, choose one. If it was kicked, choose both instead.
• Return target creature to its owner's hand.
• Target player draws two cards, then discards a card.",3,5,[],['U'],"['Devoid', 'Kicker']",mh3,uncommon
Deserted Temple,,0.0,Land,"{T}: Add {C}.
{1}, {T}: Untap target land.",n/a,n/a,[],[],[],mh3,rare
Detective's Phoenix,{2}{R},3.0,Enchantment Creature — Phoenix,"Bestow—{R}, Collect evidence 6. (To pay this bestow cost, pay {R} and exile cards with total mana value 6 or greater from your graveyard.)
Flying, haste
Enchanted creature gets +2/+2 and has flying and haste.
You may cast Detective's Phoenix from your graveyard using its bestow ability.",2,2,['R'],['R'],"['Flying', 'Collect evidence', 'Haste', 'Bestow']",mh3,rare
Devourer of Destiny,{5}{C}{C},7.0,Creature — Eldrazi,"You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the top four cards of your library. You may put one of those cards back on top of your library. Exile the rest.
When you cast this spell, exile target permanent that's one or more colors.",6,6,[],[],[],mh3,rare
Disciple of Freyalise // Garden of Freyalise,n/a,6.0,Creature — Elf Druid // Land,n/a,n/a,n/a,n/a,['G'],[],mh3,uncommon
Disruptor Flute,{2},2.0,Artifact,"Flash
As Disruptor Flute enters the battlefield, choose a card name.
Spells with the chosen name cost {3} more to cast.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",n/a,n/a,[],[],['Flash'],mh3,rare
Distinguished Conjurer,{1}{W},2.0,Creature — Human Wizard,"Whenever another creature enters the battlefield under your control, you gain 1 life.
{4}{W}, {T}: Exile another target creature you control, then return it to the battlefield under its owner's control.",1,2,['W'],['W'],[],mh3,uncommon
Dog Umbra,{1}{W},2.0,Enchantment — Aura,"Flash
Enchant creature
As long as another player controls enchanted creature, it can't attack or block. Otherwise, Dog Umbra has umbra armor. (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",n/a,n/a,['W'],['W'],"['Enchant', 'Flash']",mh3,common
Dreadmobile,{2}{B},3.0,Artifact — Vehicle,"Menace
{1}, Sacrifice another artifact or creature: Put a +1/+1 counter on Dreadmobile.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",3,3,['B'],['B'],"['Crew', 'Menace']",mh3,uncommon
Dreamdrinker Vampire,{1}{B},2.0,Creature — Vampire,"Lifelink
{1}{B}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)
Whenever one or more +1/+1 counters are put on Dreamdrinker Vampire, it gains menace until end of turn.",2,1,['B'],['B'],"['Lifelink', 'Adapt']",mh3,common
Dreamtide Whale,{2}{U},3.0,Creature — Whale,"Vanishing 2 (This creature enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
Whenever a player casts their second spell each turn, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",7,5,['U'],['U'],"['Vanishing', 'Proliferate']",mh3,rare
Drossclaw,{1}{B},2.0,Artifact — Equipment,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1.
Whenever equipped creature attacks, each opponent loses 1 life.
Equip {2}",n/a,n/a,['B'],['B'],"['Equip', 'Living weapon']",mh3,common
Drowner of Truth // Drowned Jungle,n/a,7.0,Creature — Eldrazi // Land,n/a,n/a,n/a,n/a,"['G', 'U']",['Devoid'],mh3,uncommon
Drownyard Lurker,{7},7.0,Creature — Eldrazi Trilobite,"Vigilance
When you cast or cycle Drownyard Lurker, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)",7,7,[],['U'],"['Vigilance', 'Cycling']",mh3,common
Echoes of Eternity,{3}{C}{C}{C},6.0,Kindred Enchantment — Eldrazi,"If a triggered ability of a colorless spell you control or another colorless permanent you control triggers, that ability triggers an additional time.
Whenever you cast a colorless spell, copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",n/a,n/a,[],[],[],mh3,rare
"Eladamri, Korvecdal",{1}{G}{G},3.0,Legendary Creature — Elf Warrior,"You may look at the top card of your library any time.
You may cast creature spells from the top of your library.
{G}, {T}, Tap two untapped creatures you control: Reveal a card from your hand or the top card of your library. If you reveal a creature card this way, put it onto the battlefield. Activate only during your turn.",3,3,['G'],['G'],[],mh3,mythic
Eldrazi Linebreaker,{1}{C}{R},3.0,Creature — Eldrazi,"Devoid (This card has no color.)
Trample
At the beginning of combat on your turn, target creature you control gains haste and gets +X/+0 until end of turn, where X is the number of Eldrazi you control.",3,3,[],['R'],"['Devoid', 'Trample']",mh3,rare
Eldrazi Ravager,{5}{C},6.0,Creature — Eldrazi,"Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)
Sacrifice two Eldrazi: Return Eldrazi Ravager from your graveyard to your hand.
Cycling {2} ({2}, Discard this card: Draw a card.)",6,6,[],[],"['Annihilator', 'Cycling']",mh3,uncommon
Eldrazi Repurposer,{2}{G},3.0,Creature — Eldrazi Drone,"Devoid (This card has no color.)
When you cast this spell and when Eldrazi Repurposer dies, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",3,3,[],['G'],['Devoid'],mh3,common
Electrozoa,{2}{U},3.0,Creature — Jellyfish,"Flash
Flying
When Electrozoa enters the battlefield, you get {E}{E} (two energy counters).
At the beginning of your precombat main phase, tap Electrozoa unless you pay {E}.",3,1,['U'],['U'],"['Flying', 'Flash']",mh3,common
Emerald Medallion,{2},2.0,Artifact,Green spells you cast cost {1} less to cast.,n/a,n/a,[],[],[],mh3,rare
Emissary of Soulfire,{1}{W}{U},3.0,Creature — Djinn Monk,"When Emissary of Soulfire enters the battlefield, you get {E}{E}{E} (three energy counters).
Pay {E}{E}: Put an exalted counter on target creature you control. Activate only as a sorcery. (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)",1,4,"['U', 'W']","['U', 'W']",[],mh3,uncommon
Emperor of Bones,{1}{B},2.0,Creature — Skeleton Noble,"At the beginning of combat on your turn, exile up to one target card from a graveyard.
{1}{B}: Adapt 2.
Whenever one or more +1/+1 counters are put on Emperor of Bones, put a creature card exiled with Emperor of Bones onto the battlefield under your control with a finality counter on it. It gains haste. Sacrifice it at the beginning of the next end step.",2,2,['B'],['B'],['Adapt'],mh3,rare
Emrakul's Messenger,{1}{U},2.0,Creature — Eldrazi Faerie Rogue,"Devoid (This card has no color.)
Flying
Whenever you draw your second card each turn, create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this creature: Add {C}.""",2,1,[],['U'],"['Flying', 'Devoid']",mh3,uncommon
"Emrakul, the World Anew",{12},12.0,Legendary Creature — Eldrazi,"When you cast this spell, gain control of all creatures target player controls.
Flying, protection from spells and from permanents that were cast this turn
When Emrakul, the World Anew leaves the battlefield, sacrifice all creatures you control.
Madness—Pay six {C}.",12,12,[],[],"['Flying', 'Madness', 'Protection']",mh3,mythic
Envoy of the Ancestors,{2}{W},3.0,Creature — Human Cleric,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Modified creatures you control have lifelink. (Equipment, Auras you control, and counters are modifications.)",2,3,['W'],['W'],['Outlast'],mh3,uncommon
Essence Reliquary,{2}{W},3.0,Artifact,{T}: Return another target permanent you control and all Auras you control attached to it to their owner's hand. Activate only during your turn.,n/a,n/a,['W'],['W'],[],mh3,uncommon
Estrid's Invocation,{2}{U},3.0,Enchantment,"You may have Estrid's Invocation enter the battlefield as a copy of an enchantment you control, except it has ""At the beginning of your upkeep, you may exile this enchantment. If you do, return it to the battlefield under its owner's control.""",n/a,n/a,['U'],['U'],[],mh3,rare
Etched Slith,{1}{B},2.0,Artifact Creature — Phyrexian Slith,"Menace
Whenever Etched Slith deals combat damage to a player, put a +1/+1 counter on it. When you do, you may remove a counter from another target permanent or opponent.",1,1,['B'],['B'],['Menace'],mh3,uncommon
Etherium Pteramander,{B},1.0,Artifact Creature — Salamander Drake,"Flying
Etherium Pteramander can block only creatures with flying.
{6}{B}: Adapt 4. This ability costs {1} less to activate for each other artifact you control. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",1,1,['B'],['B'],"['Flying', 'Adapt']",mh3,uncommon
Eviscerator's Insight,{1}{B},2.0,Instant,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards.
Flashback {4}{B} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",n/a,n/a,['B'],['B'],['Flashback'],mh3,common
Evolution Witness,{2}{G},3.0,Creature — Elf Shaman Mutant,"{1}{G}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Whenever one or more +1/+1 counters are put on Evolution Witness, return target permanent card from your graveyard to your hand.",2,1,['G'],['G'],['Adapt'],mh3,common
Expanding Ooze,{1}{B}{G},3.0,Creature — Ooze,"{B}{G}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)
Whenever Expanding Ooze attacks, put a +1/+1 counter on target modified creature you control. (Equipment, Auras you control, and counters are modifications.)",3,3,"['B', 'G']","['B', 'G']",['Adapt'],mh3,common
Expel the Unworthy,{1}{W},2.0,Sorcery,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Choose target creature with mana value 3 or less. If this spell was kicked, instead choose target creature. Exile the chosen creature, then its controller gains life equal to its mana value.",n/a,n/a,['W'],['W'],['Kicker'],mh3,common
Faithful Watchdog,{G}{W},2.0,Creature — Dog,"Vigilance
Faithful Watchdog enters the battlefield with three +1/+1 counters on it.",0,0,"['G', 'W']","['G', 'W']",['Vigilance'],mh3,common
Fanatic of Rhonas,{1}{G},2.0,Creature — Snake Druid,"{T}: Add {G}.
Ferocious — {T}: Add {G}{G}{G}{G}. Activate only if you control a creature with power 4 or greater.
Eternalize {2}{G}{G} ({2}{G}{G}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Snake Druid with no mana cost. Eternalize only as a sorcery.)",1,4,['G'],['G'],"['Ferocious', 'Eternalize']",mh3,rare
Fanged Flames,{1}{R},2.0,Sorcery,"Devoid (This card has no color.)
Fanged Flames deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.",n/a,n/a,[],['R'],['Devoid'],mh3,common
Fangs of Kalonia,{1}{G},2.0,Sorcery,"Put a +1/+1 counter on target creature you control, then double the number of +1/+1 counters on each creature that had a +1/+1 counter put on it this way.
Overload {4}{G}{G} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",n/a,n/a,['G'],['G'],['Overload'],mh3,uncommon
Fell the Profane // Fell Mire,n/a,4.0,Instant // Land,n/a,n/a,n/a,n/a,['B'],[],mh3,uncommon
Fetid Gargantua,{4}{B},5.0,Creature — Horror,"{2}{B}: Adapt 2. (If this creature has no +1/+1 counters on it, put two +1/+1 counters on it.)
Whenever one or more +1/+1 counters are put on Fetid Gargantua, you may draw two cards. If you do, you lose 2 life.",4,4,['B'],['B'],['Adapt'],mh3,common
Flare of Cultivation,{1}{G}{G},3.0,Sorcery,"You may sacrifice a nontoken green creature rather than pay this spell's mana cost.
Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",n/a,n/a,['G'],['G'],[],mh3,rare
Flare of Denial,{1}{U}{U},3.0,Instant,"You may sacrifice a nontoken blue creature rather than pay this spell's mana cost.
Counter target spell.",n/a,n/a,['U'],['U'],[],mh3,rare
Flare of Duplication,{1}{R}{R},3.0,Instant,"You may sacrifice a nontoken red creature rather than pay this spell's mana cost.
Copy target instant or sorcery spell. You may choose new targets for the copy.",n/a,n/a,['R'],['R'],[],mh3,rare
Flare of Fortitude,{2}{W}{W},4.0,Instant,"You may sacrifice a nontoken white creature rather than pay this spell's mana cost.
Until end of turn, your life total can't change, and permanents you control gain hexproof and indestructible.",n/a,n/a,['W'],['W'],[],mh3,rare
Flare of Malice,{2}{B}{B},4.0,Instant,"You may sacrifice a nontoken black creature rather than pay this spell's mana cost.
Each opponent sacrifices a creature or planeswalker with the greatest mana value among creatures and planeswalkers they control.",n/a,n/a,['B'],['B'],[],mh3,rare
Fledgling Dragon,{2}{R}{R},4.0,Creature — Dragon,"Flying
Threshold — As long as seven or more cards are in your graveyard, Fledgling Dragon gets +3/+3 and has ""{R}: Fledgling Dragon gets +1/+0 until end of turn.""",2,2,['R'],['R'],"['Flying', 'Threshold']",mh3,uncommon
Flooded Strand,,0.0,Land,"{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.",n/a,n/a,[],[],[],mh3,rare
