name,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,color_identity,keywords,set,rarity
Blooming Blast,{1}{R},2.0,Instant,"Gift a Treasure (You may promise an opponent a gift as you cast this spell. If you do, they create a Treasure token before its other effects. It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
Blooming Blast deals 2 damage to target creature. If the gift was promised, Blooming Blast also deals 3 damage to that creature's controller.",n/a,n/a,['R'],['R'],"['Gift', 'Treasure']",blb,uncommon
Blossoming Sands,,0.0,Land,"Blossoming Sands enters the battlefield tapped.
When Blossoming Sands enters the battlefield, you gain 1 life.
{T}: Add {G} or {W}.",n/a,n/a,[],"['G', 'W']",[],blb,common
Bonebind Orator,{1}{B},2.0,Creature — Squirrel Warlock Bard,"{3}{B}, Exile Bonebind Orator from your graveyard: Return another target creature card from your graveyard to your hand.",2,2,['B'],['B'],[],blb,common
Bonecache Overseer,{B},1.0,Creature — Squirrel Warlock,"{T}, Pay 1 life: Draw a card. Activate only if three or more cards left your graveyard this turn or if you've sacrificed a Food this turn.",1,1,['B'],['B'],[],blb,uncommon
Brambleguard Captain,{3}{R},4.0,Creature — Mouse Soldier,"At the beginning of combat on your turn, target creature you control gets +X/+0 until end of turn, where X is Brambleguard Captain's power.",2,3,['R'],['R'],[],blb,uncommon
Brambleguard Veteran,{1}{G}{G},3.0,Creature — Raccoon Warrior,"Whenever you expend 4, Raccoons you control get +1/+1 and gain vigilance until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",3,4,['G'],['G'],[],blb,uncommon
Brave-Kin Duo,{W},1.0,Creature — Rabbit Mouse,"{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery.",1,1,['W'],['W'],[],blb,common
Brazen Collector,{1}{R},2.0,Creature — Raccoon Rogue,"First strike
Whenever Brazen Collector attacks, add {R}. Until end of turn, you don't lose this mana as steps and phases end.",2,1,['R'],['R'],['First strike'],blb,uncommon
"Bria, Riptide Rogue",{2}{U}{R},4.0,Legendary Creature — Otter Rogue,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Other creatures you control have prowess. (If a creature has multiple instances of prowess, each triggers separately.)
Whenever you cast a noncreature spell, target creature you control can't be blocked this turn.",3,3,"['R', 'U']","['R', 'U']",['Prowess'],blb,mythic
Brightblade Stoat,{1}{W},2.0,Creature — Weasel Soldier,"First strike, lifelink",2,2,['W'],['W'],"['Lifelink', 'First strike']",blb,uncommon
Builder's Talent,{1}{W},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
When Builder's Talent enters, create a 0/4 white Wall creature token with defender.
{W}: Level 2
Whenever one or more noncreature, nonland permanents you control enter, put a +1/+1 counter on target creature you control.
{4}{W}: Level 3
When this Class becomes level 3, return target noncreature, nonland permanent card from your graveyard to the battlefield.",n/a,n/a,['W'],['W'],[],blb,uncommon
Bumbleflower's Sharepot,{2},2.0,Artifact,"When Bumbleflower's Sharepot enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
{5}, {T}, Sacrifice Bumbleflower's Sharepot: Destroy target nonland permanent. Activate only as a sorcery.",n/a,n/a,[],[],['Food'],blb,common
Burrowguard Mentor,{G}{W},2.0,Creature — Rabbit Soldier,"Trample
Burrowguard Mentor's power and toughness are each equal to the number of creatures you control.",*,*,"['G', 'W']","['G', 'W']",['Trample'],blb,uncommon
Bushy Bodyguard,{1}{G},2.0,Creature — Squirrel Warrior,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, you may forage. If you do, put two +1/+1 counters on it. (To forage, exile three cards from your graveyard or sacrifice a Food.)",2,1,['G'],['G'],['Forage'],blb,uncommon
"Byrke, Long Ear of the Law",{4}{G}{W},6.0,Legendary Creature — Rabbit Soldier,"Vigilance
When Byrke, Long Ear of the Law enters, put a +1/+1 counter on each of up to two target creatures.
Whenever a creature you control with a +1/+1 counter on it attacks, double the number of +1/+1 counters on it.",4,4,"['G', 'W']","['G', 'W']",['Vigilance'],blb,mythic
Byway Barterer,{2}{R},3.0,Creature — Raccoon Rogue,"Menace
Whenever you expend 4, you may discard your hand. If you do, draw two cards. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",3,3,['R'],['R'],['Menace'],blb,rare
Cache Grab,{1}{G},2.0,Instant,"Mill four cards. You may put a permanent card from among the cards milled this way into your hand. If you control a Squirrel or returned a Squirrel card to your hand this way, create a Food token. (To mill four cards, put the top four cards of your library into your graveyard. A Food token is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")",n/a,n/a,['G'],['G'],"['Food', 'Mill']",blb,common
Calamitous Tide,{4}{U}{U},6.0,Sorcery,"Return up to two target creatures to their owners' hands. Draw two cards, then discard a card.",n/a,n/a,['U'],['U'],[],blb,uncommon
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)",3,3,"['B', 'G']","['B', 'G']",['Menace'],blb,rare
Caretaker's Talent,{2}{W},3.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more tokens you control enter, draw a card. This ability triggers only once each turn.
{W}: Level 2
When this Class becomes level 2, create a token that's a copy of target token you control.
{3}{W}: Level 3
Creature tokens you control get +2/+2.",n/a,n/a,['W'],['W'],[],blb,rare
Carrot Cake,{1}{W},2.0,Artifact — Food,"When Carrot Cake enters and when you sacrifice it, create a 1/1 white Rabbit creature token and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Sacrifice Carrot Cake: You gain 3 life.",n/a,n/a,['W'],['W'],['Scry'],blb,common
Charmed Sleep,{1}{U}{U},3.0,Enchantment — Aura,"Enchant creature
When Charmed Sleep enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",n/a,n/a,['U'],['U'],['Enchant'],blb,common
Cindering Cutthroat,{2}{B/R},3.0,Creature — Lizard Assassin,"Cindering Cutthroat enters with a +1/+1 counter on it if an opponent lost life this turn.
{1}{B/R}: Cindering Cutthroat gains menace until end of turn. (It can't be blocked except by two or more creatures.)",3,2,"['B', 'R']","['B', 'R']",[],blb,common
"Clement, the Worrywort",{1}{G}{U},3.0,Legendary Creature — Frog Druid,"Vigilance
Whenever Clement, the Worrywort or another creature you control enters, return up to one target creature you control with lesser mana value to its owner's hand.
Frogs you control have ""{T}: Add {G} or {U}. Spend this mana only to cast a creature spell.""",3,3,"['G', 'U']","['G', 'U']",['Vigilance'],blb,rare
Clifftop Lookout,{2}{G},3.0,Creature — Frog Scout,"Reach
When Clifftop Lookout enters, reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield tapped and the rest on the bottom of your library in a random order.",1,2,['G'],['G'],['Reach'],blb,uncommon
Coiling Rebirth,{3}{B}{B},5.0,Sorcery,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return target creature card from your graveyard to the battlefield. Then if the gift was promised and that creature isn't legendary, create a token that's a copy of that creature, except it's 1/1.",n/a,n/a,['B'],['B'],['Gift'],blb,rare
Colossification,{5}{G}{G},7.0,Enchantment — Aura,"Enchant creature
When Colossification enters the battlefield, tap enchanted creature.
Enchanted creature gets +20/+20.",n/a,n/a,['G'],['G'],['Enchant'],blb,rare
Conduct Electricity,{4}{R},5.0,Instant,Conduct Electricity deals 6 damage to target creature and 2 damage to up to one target creature token.,n/a,n/a,['R'],['R'],[],blb,common
Consumed by Greed,{1}{B}{B},3.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Target opponent sacrifices a creature with the greatest power among creatures they control. If the gift was promised, return target creature card from your graveyard to your hand.",n/a,n/a,['B'],['B'],['Gift'],blb,uncommon
Corpseberry Cultivator,{1}{B/G}{B/G},3.0,Creature — Squirrel Warlock,"At the beginning of combat on your turn, you may forage. (Exile three cards from your graveyard or sacrifice a Food.)
Whenever you forage, put a +1/+1 counter on Corpseberry Cultivator.",2,3,"['B', 'G']","['B', 'G']",['Forage'],blb,common
Coruscation Mage,{1}{R},2.0,Creature — Otter Wizard,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you cast a noncreature spell, this creature deals 1 damage to each opponent.",2,2,['R'],['R'],[],blb,uncommon
Cruelclaw's Heist,{B}{B},2.0,Sorcery,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Target opponent reveals their hand. You choose a nonland card from it. Exile that card. If the gift was promised, you may cast that card for as long as it remains exiled, and mana of any type can be spent to cast it.",n/a,n/a,['B'],['B'],['Gift'],blb,rare
Crumb and Get It,{W},1.0,Instant,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
Target creature you control gets +2/+2 until end of turn. If the gift was promised, that creature also gains indestructible until end of turn.",n/a,n/a,['W'],['W'],"['Gift', 'Food']",blb,common
Curious Forager,{2}{G},3.0,Creature — Squirrel Druid,"When Curious Forager enters, you may forage. When you do, return target permanent card from your graveyard to your hand. (To forage, exile three cards from your graveyard or sacrifice a Food.)",3,2,['G'],['G'],['Forage'],blb,uncommon
Daggerfang Duo,{2}{B},3.0,Creature — Rat Squirrel,"Deathtouch
When Daggerfang Duo enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",3,2,['B'],['B'],"['Mill', 'Deathtouch']",blb,common
Daring Waverider,{4}{U}{U},6.0,Creature — Otter Wizard,"When Daring Waverider enters, you may cast target instant or sorcery card with mana value 4 or less from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",4,4,['U'],['U'],[],blb,uncommon
Darkstar Augur,{2}{B},3.0,Creature — Bat Warlock,"Offspring {B} (You may pay an additional {B} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.",2,3,['B'],['B'],['Flying'],blb,rare
Dawn's Truce,{1}{W},2.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
You and permanents you control gain hexproof until end of turn. If the gift was promised, permanents you control also gain indestructible until end of turn.",n/a,n/a,['W'],['W'],['Gift'],blb,rare
Dazzling Denial,{1}{U},2.0,Instant,"Counter target spell unless its controller pays {2}. If you control a Bird, counter that spell unless its controller pays {4} instead.",n/a,n/a,['U'],['U'],[],blb,common
Dewdrop Cure,{2}{W},3.0,Sorcery,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return up to two target creature cards each with mana value 2 or less from your graveyard to the battlefield. If the gift was promised, instead return up to three target creature cards each with mana value 2 or less from your graveyard to the battlefield.",n/a,n/a,['W'],['W'],['Gift'],blb,uncommon
Dire Downdraft,{3}{U},4.0,Instant,"This spell costs {1} less to cast if it targets an attacking or tapped creature.
Target creature's owner puts it on the top or bottom of their library.",n/a,n/a,['U'],['U'],[],blb,common
Diresight,{2}{B},3.0,Sorcery,"Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",n/a,n/a,['B'],['B'],['Surveil'],blb,common
Dour Port-Mage,{1}{U},2.0,Creature — Frog Wizard,"Whenever one or more other creatures you control leave the battlefield without dying, draw a card.
{1}{U}, {T}: Return another target creature you control to its owner's hand.",1,3,['U'],['U'],[],blb,rare
Downwind Ambusher,{3}{B},4.0,Creature — Skunk Assassin,"Flash
When Downwind Ambusher enters, choose one —
• Target creature an opponent controls gets -1/-1 until end of turn.
• Destroy target creature an opponent controls that was dealt damage this turn.",4,2,['B'],['B'],['Flash'],blb,uncommon
"Dragonhawk, Fate's Tempest",{3}{R}{R},5.0,Legendary Creature — Bird Dragon,"Flying
Whenever Dragonhawk enters or attacks, exile the top X cards of your library, where X is the number of creatures you control with power 4 or greater. You may play those cards until your next end step. At the beginning of your next end step, Dragonhawk deals 2 damage to each opponent for each of those cards that are still exiled.",5,5,['R'],['R'],['Flying'],blb,mythic
Dreamdew Entrancer,{2}{G}{U},4.0,Creature — Frog Wizard,"Reach
When Dreamdew Entrancer enters, tap up to one target creature and put three stun counters on it. If you control that creature, draw two cards.",3,4,"['G', 'U']","['G', 'U']",['Reach'],blb,rare
Driftgloom Coyote,{3}{W}{W},5.0,Creature — Elemental Coyote,"When Driftgloom Coyote enters, exile target creature an opponent controls until Driftgloom Coyote leaves the battlefield. If that creature had power 2 or less, put a +1/+1 counter on Driftgloom Coyote.",3,4,['W'],['W'],[],blb,uncommon
Druid of the Spade,{2}{G},3.0,Creature — Rabbit Druid,"As long as you control a token, Druid of the Spade gets +2/+0 and has trample.",2,3,['G'],['G'],[],blb,common
Early Winter,{4}{B},5.0,Instant,"Choose one —
• Exile target creature.
• Target opponent exiles an enchantment they control.",n/a,n/a,['B'],['B'],[],blb,common
Eddymurk Crab,{5}{U}{U},7.0,Creature — Elemental Crab,"Flash
This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Eddymurk Crab enters tapped if it's not your turn.
When Eddymurk Crab enters, tap up to two target creatures.",5,5,['U'],['U'],['Flash'],blb,uncommon
"Eluge, the Shoreless Sea",{1}{U}{U}{U},4.0,Legendary Creature — Elemental Fish,"Eluge's power and toughness are each equal to the number of Islands you control.
Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it.
The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it.",*,*,['U'],['U'],[],blb,mythic
Emberheart Challenger,{1}{R},2.0,Creature — Mouse Warrior,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Valiant — Whenever Emberheart Challenger becomes the target of a spell or ability you control for the first time each turn, exile the top card of your library. Until end of turn, you may play that card.",2,2,['R'],['R'],"['Prowess', 'Valiant', 'Haste']",blb,rare
Essence Channeler,{1}{W},2.0,Creature — Bat Cleric,"As long as you've lost life this turn, Essence Channeler has flying and vigilance.
Whenever you gain life, put a +1/+1 counter on Essence Channeler.
When Essence Channeler dies, put its counters on target creature you control.",2,1,['W'],['W'],[],blb,rare
Fabled Passage,,0.0,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",n/a,n/a,[],[],[],blb,rare
Feather of Flight,{1}{W},2.0,Enchantment — Aura,"Flash
Enchant creature
When Feather of Flight enters, draw a card.
Enchanted creature gets +1/+0 and has flying.",n/a,n/a,['W'],['W'],"['Enchant', 'Flash']",blb,uncommon
Fecund Greenshell,{3}{G}{G},5.0,Creature — Elemental Turtle,"Reach
As long as you control ten or more lands, creatures you control get +2/+2.
Whenever Fecund Greenshell or another creature you control with toughness greater than its power enters, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped. Otherwise, put it into your hand.",4,6,['G'],['G'],['Reach'],blb,rare
Feed the Cycle,{1}{B},2.0,Instant,"As an additional cost to cast this spell, forage or pay {B}. (To forage, exile three cards from your graveyard or sacrifice a Food.)
Destroy target creature or planeswalker.",n/a,n/a,['B'],['B'],['Forage'],blb,uncommon
Fell,{1}{B},2.0,Sorcery,Destroy target creature.,n/a,n/a,['B'],['B'],[],blb,uncommon
Festival of Embers,{4}{R},5.0,Enchantment,"During your turn, you may cast instant and sorcery spells from your graveyard by paying 1 life in addition to their other costs.
If a card or token would be put into your graveyard from anywhere, exile it instead.
{1}{R}: Sacrifice Festival of Embers.",n/a,n/a,['R'],['R'],[],blb,rare
Finch Formation,{2}{U},3.0,Creature — Bird Scout,"Offspring {3} (You may pay an additional {3} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Flying
When this creature enters, target creature you control gains flying until end of turn.",2,2,['U'],['U'],['Flying'],blb,common
"Finneas, Ace Archer",{G}{W},2.0,Legendary Creature — Rabbit Archer,"Vigilance, reach
Whenever Finneas, Ace Archer attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.",2,2,"['G', 'W']","['G', 'W']","['Reach', 'Vigilance']",blb,rare
Fireglass Mentor,{B}{R},2.0,Creature — Lizard Warlock,"At the beginning of your second main phase, if an opponent lost life this turn, exile the top two cards of your library. Choose one of them. Until end of turn, you may play that card.",2,1,"['B', 'R']","['B', 'R']",[],blb,uncommon
Flamecache Gecko,{1}{R},2.0,Creature — Lizard Warlock,"When Flamecache Gecko enters, if an opponent lost life this turn, add {B}{R}.
{1}{R}, Discard a card: Draw a card.",2,2,['R'],"['B', 'R']",[],blb,uncommon
Flame Lash,{3}{R},4.0,Instant,Flame Lash deals 4 damage to any target.,n/a,n/a,['R'],['R'],[],blb,common
Flowerfoot Swordmaster,{W},1.0,Creature — Mouse Soldier,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",1,2,['W'],['W'],['Valiant'],blb,uncommon
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),n/a,n/a,[],['G'],[],blb,common
For the Common Good,{X}{X}{G},1.0,Sorcery,Create X tokens that are copies of target token you control. Then tokens you control gain indestructible until your next turn. You gain 1 life for each token you control.,n/a,n/a,['G'],['G'],[],blb,rare
Fountainport,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice a token: Draw a card.
{3}, {T}, Pay 1 life: Create a 1/1 blue Fish creature token.
{4}, {T}: Create a Treasure token.",n/a,n/a,[],[],['Treasure'],blb,rare
Fountainport Bell,{1},1.0,Artifact,"When Fountainport Bell enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.
{1}, Sacrifice Fountainport Bell: Draw a card.",n/a,n/a,[],[],[],blb,common
Frilled Sparkshooter,{3}{R},4.0,Creature — Lizard Archer,"Menace, reach
Frilled Sparkshooter enters with a +1/+1 counter on it if an opponent lost life this turn.",3,3,['R'],['R'],"['Reach', 'Menace']",blb,common
Galewind Moose,{4}{G}{G},6.0,Creature — Elemental Elk,"Flash
Vigilance, reach, trample",6,6,['G'],['G'],"['Reach', 'Vigilance', 'Trample', 'Flash']",blb,uncommon
"Gev, Scaled Scorch",{B}{R},2.0,Legendary Creature — Lizard Mercenary,"Ward—Pay 2 life.
Other creatures you control enter with an additional +1/+1 counter on them for each opponent who lost life this turn.
Whenever you cast a Lizard spell, Gev, Scaled Scorch deals 1 damage to target opponent.",3,2,"['B', 'R']","['B', 'R']",['Ward'],blb,rare
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,n/a,n/a,['G'],['G'],[],blb,common
"Glarb, Calamity's Augur",{B}{G}{U},3.0,Legendary Creature — Frog Wizard Noble,"Deathtouch
You may look at the top card of your library any time.
You may play lands and cast spells with mana value 4 or greater from the top of your library.
{T}: Surveil 2.",2,4,"['B', 'G', 'U']","['B', 'G', 'U']","['Surveil', 'Deathtouch']",blb,mythic
Glidedive Duo,{4}{B},5.0,Creature — Bat Lizard,"Flying
When Glidedive Duo enters, each opponent loses 2 life and you gain 2 life.",3,3,['B'],['B'],['Flying'],blb,common
Gossip's Talent,{1}{U},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever a creature you control enters, surveil 1.
{1}{U}: Level 2
Whenever you attack, target attacking creature with power 3 or less can't be blocked this turn.
{3}{U}: Level 3
Whenever a creature you control deals combat damage to a player, you may exile it, then return it to the battlefield under its owner's control.",n/a,n/a,['U'],['U'],['Surveil'],blb,uncommon
Harnesser of Storms,{2}{R},3.0,Creature — Otter Wizard,"Whenever you cast a noncreature or Otter spell, you may exile the top card of your library. Until end of turn, you may play that card. This ability triggers only once each turn.",1,4,['R'],['R'],[],blb,uncommon
Harvestrite Host,{2}{W},3.0,Creature — Rabbit Citizen,"Whenever Harvestrite Host or another Rabbit you control enters, target creature you control gets +1/+0 until end of turn. Then draw a card if this is the second time this ability has resolved this turn.",3,3,['W'],['W'],[],blb,uncommon
Hazardroot Herbalist,{2}{G},3.0,Creature — Rabbit Druid,"Whenever you attack, target creature you control gets +1/+0 until end of turn. If that creature is a token, it also gains deathtouch until end of turn.",1,4,['G'],['G'],[],blb,uncommon
Hazel's Nocturne,{3}{B},4.0,Instant,Return up to two target creature cards from your graveyard to your hand. Each opponent loses 2 life and you gain 2 life.,n/a,n/a,['B'],['B'],[],blb,uncommon
Head of the Homestead,{3}{G/W}{G/W},5.0,Creature — Rabbit Citizen,"When Head of the Homestead enters, create two 1/1 white Rabbit creature tokens.",3,2,"['G', 'W']","['G', 'W']",[],blb,common
Heaped Harvest,{2}{G},3.0,Artifact — Food,"When Heaped Harvest enters and when you sacrifice it, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{2}, {T}, Sacrifice Heaped Harvest: You gain 3 life.",n/a,n/a,['G'],['G'],[],blb,common
Heartfire Hero,{R},1.0,Creature — Mouse Soldier,"Valiant — Whenever Heartfire Hero becomes the target of a spell or ability you control for the first time each turn, put a +1/+1 counter on it.
When Heartfire Hero dies, it deals damage equal to its power to each opponent.",1,1,['R'],['R'],['Valiant'],blb,uncommon
Hearthborn Battler,{2}{R},3.0,Creature — Lizard Warlock,"Haste
Whenever a player casts their second spell each turn, Hearthborn Battler deals 2 damage to target opponent.",2,3,['R'],['R'],['Haste'],blb,rare
Heirloom Epic,{1},1.0,Artifact,"{4}, {T}: Draw a card. For each mana in this ability's activation cost, you may tap an untapped creature you control rather than pay that mana. Activate only as a sorcery.",n/a,n/a,[],[],[],blb,uncommon
"Helga, Skittish Seer",{G}{W}{U},3.0,Legendary Creature — Frog Druid,"Whenever you cast a creature spell with mana value 4 or greater, you draw a card, gain 1 life, and put a +1/+1 counter on Helga, Skittish Seer.
{T}: Add X mana of any one color, where X is Helga, Skittish Seer's power. Spend this mana only to cast creature spells with mana value 4 or greater or creature spells with {X} in their mana costs.",1,3,"['G', 'U', 'W']","['G', 'U', 'W']",[],blb,mythic
Hidden Grotto,,0.0,Land,"When Hidden Grotto enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",n/a,n/a,[],[],['Surveil'],blb,common
High Stride,{G},1.0,Instant,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,n/a,n/a,['G'],['G'],[],blb,common
Hired Claw,{R},1.0,Creature — Lizard Mercenary,"Whenever you attack with one or more Lizards, Hired Claw deals 1 damage to target opponent.
{1}{R}: Put a +1/+1 counter on Hired Claw. Activate this ability only if an opponent has lost life this turn and only once each turn.",1,2,['R'],['R'],[],blb,rare
Hivespine Wolverine,{3}{G}{G},5.0,Creature — Elemental Wolverine,"When Hivespine Wolverine enters, choose one —
• Put a +1/+1 counter on target creature you control.
• Hivespine Wolverine fights target creature token.
• Destroy target artifact or enchantment.",5,4,['G'],['G'],['Fight'],blb,uncommon
